Mf af
267.790850 0.772761
242.023136 0.715927
289.247899 0.806414
275.603371 0.743397
272.922228 0.814944
270.129278 0.722527
251.482190 0.693549
285.947920 0.823212
233.957147 0.638224
230.821421 0.606962
259.878469 0.793518
248.803381 0.676555
279.710051 0.782855
257.000841 0.751273
274.901025 0.787726
266.434044 0.792032
245.842972 0.696053
286.037952 0.808603
249.305661 0.640049
261.318296 0.733254
254.037690 0.747712
286.298462 0.824888
269.827108 0.803679
276.073638 0.769309
270.631532 0.753075
262.193711 0.629624
271.161452 0.759325
264.027054 0.725120
259.382508 0.719852
245.603836 0.674495
252.895390 0.704061
247.185464 0.676496
279.720615 0.730657
270.505051 0.779913
233.305618 0.575891
261.306344 0.704661
